251.05;0.021;0.004;0.005;0.005;0.006;0.005;3.989;8.32;12.424;16.299;20.402;24.391;3.989;8.434;12.652;16.413;20.63;24.505;0.021;0.004;0.004;0.005;0.009;0.005;1;0;1
248.96;0.021;0.004;0.003;0.004;0.004;0.005;3.989;8.206;12.538;16.299;20.174;24.164;3.989;8.434;12.538;16.527;20.288;24.391;0.021;0.003;0.003;0.004;0.004;0.004;1;0;1
251.05;0.004;0.002;0.001;0.002;0.001;0.002;3.999;8.112;12.454;16.567;20.224;24.337;3.999;8.455;12.568;16.796;20.338;24.68;0.004;0.001;0.001;0.005;0.003;0.002;0;1;0
251.05;0.009;0.001;0.001;0.002;0.003;0.001;3.994;8.102;12.211;16.775;19.971;24.193;3.994;8.331;12.325;16.775;19.971;24.421;0.018;0.002;0.001;0.001;0.003;0.001;1;1;0
252.1;0.022;0.004;0.003;0.004;0.004;0.005;3.989;8.434;12.424;16.527;20.174;24.277;3.989;8.548;12.766;16.755;20.516;24.505;0.022;0.003;0.003;0.005;0.005;0.004;1;0;1
250;0;0;0;0;0;0;4.004;7.436;11.554;15.444;19.676;23.68;4.004;7.779;11.783;15.444;19.905;23.68;0.003;0.003;0.002;0.007;0.002;0.003;0;0;0
250;0;0;0;0;0;0;3.89;7.55;11.669;15.672;19.333;23.337;3.775;7.779;11.783;15.901;19.333;23.68;0.003;0.001;0.001;0.003;0.004;0.002;0;0;0
248.96;0.022;0.004;0.006;0.007;0.006;0.005;3.989;8.548;12.31;16.755;20.288;24.277;3.989;8.776;12.424;16.755;20.63;24.619;0.022;0.002;0.003;0.004;0.004;0.003;1;1;1
252.1;0.01;0.006;0.011;0.006;0.007;0.007;4.217;8.32;12.652;16.527;20.402;24.277;4.331;8.434;12.766;16.527;20.402;24.505;0.01;0.006;0.004;0.009;0.008;0.005;0;1;1
251.05;0.021;0.002;0.001;0.002;0.002;0.002;3.989;8.434;12.538;16.413;20.516;24.391;3.989;8.662;12.766;16.641;20.516;24.733;0.021;0.002;0.002;0.003;0.002;0.002;1;0;0
250;0.022;0.002;0.001;0.001;0.002;0.002;3.989;8.206;12.424;16.641;20.402;24.277;3.989;8.548;12.538;16.755;20.63;24.505;0.022;0.004;0.003;0.003;0.006;0.005;1;0;0
247.93;0.003;0.005;0.005;0.005;0.005;0.004;4.331;8.092;12.196;16.413;20.288;24.391;4.217;8.434;12.31;16.527;20.288;24.505;0.005;0.006;0.004;0.006;0.009;0.005;0;0;1
250;0.023;0.005;0.005;0.008;0.005;0.004;3.989;8.548;12.424;16.299;20.174;24.505;3.989;8.776;12.538;16.641;20.288;24.505;0.023;0.005;0.005;0.005;0.005;0.002;1;0;1
250;0.004;0.001;0.001;0.002;0.001;0.002;3.999;8.455;12.34;16.796;20.566;24.565;3.999;8.798;12.683;16.796;20.566;24.68;0.004;0.003;0.002;0.007;0.002;0.002;0;1;0
248.96;0.022;0.003;0.004;0.003;0.004;0.003;3.989;8.32;12.538;16.299;20.06;24.164;3.989;8.662;12.538;16.641;20.288;24.391;0.022;0.003;0.003;0.004;0.007;0.003;1;1;1
251.05;0.02;0.002;0.002;0.002;0.003;0.002;3.989;8.548;12.31;16.527;20.288;24.505;3.989;8.662;12.424;16.755;20.516;24.619;0.02;0.002;0.003;0.004;0.008;0.002;1;0;0
200;0;0;0;0;0;0;3.199;5.941;9.255;12.568;14.854;17.824;3.199;6.056;9.598;12.568;14.968;18.053;0.002;0.001;0.001;0.001;0.001;0.001;0;0;0
248.96;0.022;0.002;0.003;0.003;0.003;0.003;3.989;8.434;12.196;16.299;20.516;24.391;3.989;8.548;12.31;16.755;20.63;24.733;0.022;0.002;0.002;0.004;0.003;0.003;1;1;1
202;0;0;0;0;0;0;2.971;6.17;9.026;12.226;15.082;17.824;3.199;6.17;9.369;12.454;15.082;18.053;0.001;0.001;0.001;0.001;0.001;0.001;0;0;0
251.05;0.022;0.003;0.003;0.003;0.003;0.003;3.989;8.206;12.31;16.071;20.288;24.391;3.989;8.548;12.538;16.413;20.63;24.619;0.022;0.002;0.005;0.003;0.009;0.004;1;1;1
250;0.012;0.01;0.009;0.01;0.009;0.012;4.217;8.434;12.196;16.527;20.516;24.505;4.331;8.548;12.766;16.641;20.63;24.733;0.012;0.009;0.006;0.012;0.007;0.011;0;1;1
251.05;0.01;0.001;0.001;0.002;0.001;0.001;3.994;8.445;12.439;16.547;20.427;24.421;3.994;8.559;12.553;16.547;20.541;24.535;0.019;0.002;0.001;0.001;0.001;0.001;1;1;0
250;0.013;0.01;0.011;0.011;0.005;0.01;4.222;8.331;12.553;16.661;20.427;24.535;4.108;8.559;12.667;16.661;20.77;24.764;0.013;0.005;0.008;0.006;0.005;0.006;0;0;1
250;0;0;0;0;0;0;4.004;7.665;11.44;15.787;19.562;23.795;3.89;7.665;11.783;15.787;19.791;23.909;0.003;0.002;0.002;0.002;0.002;0.002;0;0;0
251.05;0.004;0.006;0.004;0.007;0.005;0.005;4.336;8.217;12.553;16.547;20.541;24.535;4.451;8.673;12.781;16.661;20.77;24.535;0.005;0.002;0.003;0.004;0.003;0.003;0;0;1
250;0.02;0.003;0.002;0.005;0.002;0.002;3.989;8.434;12.652;16.755;20.516;24.505;3.989;8.776;12.766;16.755;20.744;24.733;0.02;0.002;0.003;0.013;0.004;0.005;1;0;0
250;0.022;0.005;0.005;0.007;0.006;0.005;3.989;8.662;12.196;16.641;20.63;24.505;3.989;8.662;12.31;16.755;20.63;24.505;0.022;0.003;0.004;0.004;0.004;0.003;1;1;1
