249;0;0;0;0;0;0;3.999;8.227;12.226;16.567;20.681;24.337;3.999;8.341;12.568;16.567;20.681;24.451;0.003;0.001;0.001;0.001;0.001;0.001;0;0;0;
250;0.002;0.001;0.001;0.002;0.001;0.001;3.999;8.569;12.454;16.682;20.224;24.223;3.999;8.569;12.568;16.796;20.452;24.451;0.003;0.001;0.001;0.001;0.001;0.001;0;1;0;
250;0.003;0.002;0.003;0.003;0.003;0.003;4.336;8.445;12.097;16.661;20.313;24.079;4.222;8.445;12.325;16.661;20.427;24.307;0.005;0.003;0.003;0.002;0.003;0.003;0;1;1;
251.05;0.002;0.001;0.002;0.002;0.002;0.002;4.222;8.445;12.325;16.547;20.313;24.421;3.994;8.559;12.553;16.661;20.313;24.535;0.003;0.002;0.002;0.002;0.002;0.003;0;0;1;
251.05;0.009;0.001;0.001;0.003;0.001;0.001;3.994;8.445;12.211;16.775;20.541;24.421;3.994;8.445;12.667;16.775;20.655;24.65;0.018;0.001;0.001;0.001;0.001;0.001;1;1;0;
252.1;0.009;0.001;0.001;0.002;0.001;0.001;3.994;8.445;12.325;16.775;20.427;24.421;3.994;8.559;12.781;16.775;20.427;24.535;0.018;0.001;0.001;0.001;0.001;0.001;1;1;0;
250;0.009;0.001;0.001;0.002;0.002;0.002;3.989;8.662;12.196;16.071;20.288;24.277;3.989;8.662;12.424;16.071;20.288;24.391;0.019;0.002;0.002;0.002;0.003;0.002;1;0;1;
248.96;0.009;0.001;0.001;0.003;0.002;0.002;3.989;8.434;12.196;16.755;20.63;24.277;3.989;8.434;12.652;16.755;20.63;24.505;0.019;0.002;0.002;0.002;0.002;0.003;1;1;1;
250;0.009;0.001;0.001;0.003;0.001;0.001;3.994;8.673;12.439;16.775;20.313;24.193;3.994;8.673;12.781;16.775;20.427;24.421;0.017;0.001;0.001;0.001;0.002;0.001;1;0;0;
250;0;0;0;0;0;0;3.999;8.112;11.997;16.453;19.995;23.994;3.999;8.112;12.226;16.453;19.995;23.994;0.003;0.001;0.001;0.001;0.001;0.003;0;0;0;
250;0.009;0.001;0.001;0.003;0.001;0.001;3.994;8.217;12.553;16.775;20.313;24.421;3.994;8.217;12.553;16.775;20.541;24.421;0.018;0.001;0.001;0.001;0.001;0.001;1;1;0;
251;0;0;0;0;0;0;3.999;8.684;12.454;16.567;20.338;24.565;3.999;8.798;12.683;16.567;20.566;24.68;0.002;0.001;0.001;0;0.001;0.001;0;0;0;
248.96;0.002;0.001;0.001;0.002;0.001;0.002;3.999;8.569;12.34;16.796;20.681;24.337;3.999;8.684;12.454;16.796;20.681;24.337;0.003;0.001;0.001;0.001;0.001;0.002;0;1;0;
251;0;0;0;0;0;0;4.113;8.341;12.34;16.682;20.566;24.108;3.999;8.684;12.568;16.796;20.795;24.565;0.003;0.001;0.001;0.001;0.001;0.001;0;0;0;
250;0.003;0.001;0.001;0.002;0.002;0.001;4.108;8.217;12.439;16.661;20.427;24.307;4.108;8.217;12.553;16.775;20.427;24.535;0.004;0.002;0.002;0.002;0.002;0.002;0;1;1;
251.05;0.002;0.002;0.002;0.002;0.002;0.002;4.222;8.445;12.097;16.433;20.313;24.193;4.108;8.559;12.325;16.661;20.427;24.193;0.003;0.002;0.002;0.001;0.002;0.004;0;0;1;
250;0.009;0.001;0.001;0.002;0.001;0.001;3.994;8.331;12.439;16.775;20.655;24.535;3.994;8.331;12.439;16.775;20.655;24.65;0.017;0.001;0.001;0.001;0.001;0.001;1;0;0;
199;0;0;0;0;0;0;2.746;5.72;9.266;11.669;14.757;17.96;2.974;5.949;9.266;11.669;14.872;18.304;0.001;0.001;0.001;0.001;0.002;0.001;0;0;0;
248.96;0.002;0.002;0.002;0.002;0.002;0.002;4.108;8.331;12.553;16.433;20.427;24.193;3.994;8.445;12.553;16.775;20.541;24.307;0.003;0.002;0.002;0.001;0.003;0.002;0;1;1;
250;0.001;0.001;0.001;0.003;0.001;0.001;3.999;8.569;12.226;16.796;20.566;24.68;3.999;8.569;12.454;16.796;20.681;24.794;0.003;0.001;0.001;0.001;0.001;0.001;0;1;0;
248.96;0.009;0.001;0.002;0.003;0.002;0.002;3.989;8.434;12.082;16.641;20.402;24.277;3.989;8.434;12.196;16.641;20.516;24.505;0.018;0.002;0.002;0.002;0.002;0.003;1;0;1;
251.05;0.009;0.001;0.002;0.003;0.002;0.001;3.994;8.445;12.325;16.775;20.541;24.535;3.994;8.445;12.553;16.775;20.655;24.535;0.018;0.001;0.001;0.001;0.002;0.002;1;1;0;
250;0.01;0.001;0.001;0.003;0.001;0.001;3.994;7.988;12.325;16.775;20.77;24.421;3.994;8.217;12.553;16.775;20.77;24.764;0.018;0.002;0.001;0.001;0.001;0.001;1;1;0;
